,DATE,TEAM,CONF.,OPP.,RESULT,SCORE,YEAR
0,2016-03-15,Vanderbilt,SEC,Wichita St.,L, 70-50,2016
1,2016-03-15,Fairleigh Dickinson,NEC,Florida Gulf Coast,L, 96-65,2016
2,2016-03-16,Southern,SWAC,Holy Cross,L, 59-55,2016
3,2016-03-16,Tulsa,Amer,Michigan,L, 67-62,2016
4,2016-03-17,Austin Peay,OVC,Kansas,L, 105-79,2016
5,2016-03-17,Arizona,P12,Wichita St.,L, 65-55,2016
6,2016-03-17,Seton Hall,BE,Gonzaga,L, 68-52,2016
7,2016-03-17,USC,P12,Providence,L, 70-69,2016
8,2016-03-17,Texas Tech,B12,Butler,L, 71-61,2016
9,2016-03-17,Colorado,P12,Connecticut,L, 74-67,2016
10,2016-03-17,Buffalo,MAC,Miami FL,L, 79-72,2016
11,2016-03-17,Baylor,B12,Yale,L, 79-75,2016
12,2016-03-17,Fresno St.,MWC,Utah,L, 80-69,2016
13,2016-03-17,Hampton,MEAC,Virginia,L, 81-45,2016
14,2016-03-17,Florida Gulf Coast,ASun,North Carolina,L, 83-67,2016
15,2016-03-17,Stony Brook,AE,Kentucky,L, 85-57,2016
16,2016-03-17,Purdue,B10,Little Rock,L, 85-83,2016
17,2016-03-17,UNC Wilmington,CAA,Duke,L, 93-85,2016
18,2016-03-17,Iona,MAAC,Iowa St.,L, 94-81,2016
19,2016-03-17,Chattanooga,SC,Indiana,L, 99-74,2016
20,2016-03-18,Pittsburgh,ACC,Wisconsin,L, 47-43,2016
21,2016-03-18,Dayton,A10,Syracuse,L, 70-51,2016
22,2016-03-18,West Virginia,B12,Stephen F. Austin,L, 70-56,2016
23,2016-03-18,Michigan,B10,Notre Dame,L, 70-63,2016
24,2016-03-18,Weber St.,BSky,Xavier,L, 71-53,2016
25,2016-03-18,Temple,Amer,Iowa,L, 72-70,2016
26,2016-03-18,Oregon St.,P12,VCU,L, 75-67,2016
27,2016-03-18,Texas,B12,Northern Iowa,L, 75-72,2016
28,2016-03-18,California,P12,Hawaii,L, 77-66,2016
29,2016-03-18,Cincinnati,Amer,Saint Joseph's,L, 78-76,2016
30,2016-03-18,South Dakota St.,Sum,Maryland,L, 79-74,2016
31,2016-03-18,Cal St. Bakersfield,WAC,Oklahoma,L, 82-68,2016
32,2016-03-18,UNC Asheville,BSth,Villanova,L, 86-56,2016
33,2016-03-18,Michigan St.,B10,Middle Tennessee,L, 90-81,2016
34,2016-03-18,Holy Cross,Pat,Oregon,L, 91-52,2016
35,2016-03-18,Green Bay,Horz,Texas A&M,L, 92-65,2016
36,2016-03-19,Wichita St.,MVC,Miami FL,L, 65-57,2016
37,2016-03-19,Yale,Ivy,Duke,L, 71-64,2016
38,2016-03-19,Connecticut,Amer,Kansas,L, 73-61,2016
39,2016-03-19,Kentucky,SEC,Indiana,L, 73-67,2016
40,2016-03-19,Butler,BE,Virginia,L, 77-69,2016
41,2016-03-19,Little Rock,SB,Iowa St.,L, 78-61,2016
42,2016-03-19,Utah,P12,Gonzaga,L, 82-59,2016
43,2016-03-19,Providence,BE,North Carolina,L, 85-66,2016
44,2016-03-20,Xavier,BE,Wisconsin,L, 66-63,2016
45,2016-03-20,Saint Joseph's,A10,Oregon,L, 69-64,2016
46,2016-03-20,Hawaii,BW,Maryland,L, 73-60,2016
47,2016-03-20,Middle Tennessee,CUSA,Syracuse,L, 75-50,2016
48,2016-03-20,Stephen F. Austin,Slnd,Notre Dame,L, 76-75,2016
49,2016-03-20,VCU,A10,Oklahoma,L, 85-81,2016
50,2016-03-20,Iowa,B10,Villanova,L, 87-68,2016
51,2016-03-20,Northern Iowa,MVC,Texas A&M,L, 92-88,2016
52,2016-03-24,Texas A&M,SEC,Oklahoma,L, 77-63,2016
53,2016-03-24,Maryland,B10,Kansas,L, 79-63,2016
54,2016-03-24,Duke,ACC,Oregon,L, 82-68,2016
55,2016-03-24,Miami FL,ACC,Villanova,L, 92-69,2016
56,2016-03-25,Indiana,B10,North Carolina,L, 101-86,2016
57,2016-03-25,Wisconsin,B10,Notre Dame,L, 61-56,2016
58,2016-03-25,Gonzaga,WCC,Syracuse,L, 63-60,2016
59,2016-03-25,Iowa St.,B12,Virginia,L, 84-71,2016
60,2016-03-26,Kansas,B12,Villanova,L, 64-59,2016
61,2016-03-26,Oregon,P12,Oklahoma,L, 80-68,2016
62,2016-03-27,Virginia,ACC,Syracuse,L, 68-62,2016
63,2016-03-27,Notre Dame,ACC,North Carolina,L, 88-74,2016
64,2016-04-02,Syracuse,ACC,North Carolina,L, 83-66,2016
65,2016-04-02,Oklahoma,B12,Villanova,L, 95-51,2016
66,2016-04-04,North Carolina,ACC,Villanova,L, 77-74,2016
67,2017-03-14,Wake Forest,ACC,Kansas St.,L, 95-88,2017
